payment_id,trip_id,amount,method,status,payment_time
1,1,45.41,card,completed,2024-05-28 05:02:21
2,2,40.74,card,completed,2024-09-10 22:14:38
3,3,65.9,cash,completed,2024-06-10 02:32:58
4,4,50.21,wallet,completed,2023-04-06 17:31:11
5,5,62.26,card,completed,2023-08-25 16:11:17
6,6,31.84,wallet,completed,2024-05-16 18:26:09
7,7,58.06,card,completed,2023-07-16 07:51:53
8,8,63.86,cash,completed,2024-05-15 18:45:14
9,9,41.71,cash,completed,2024-07-17 15:04:50
10,10,76.06,card,failed,2023-03-19 17:26:30
11,11,66.44,card,completed,2023-09-13 01:48:52
12,12,31.63,cash,completed,2023-10-11 03:50:00
13,13,49.39,cash,completed,2023-06-22 02:32:18
14,14,52.81,wallet,completed,2024-06-11 21:21:33
15,15,61.98,card,completed,2024-01-14 06:52:16
16,16,68.06,wallet,completed,2024-11-23 07:43:51
17,17,52.48,cash,completed,2024-11-23 22:32:45
18,18,18.64,cash,completed,2024-08-20 11:39:55
19,19,47.26,cash,completed,2024-05-22 22:58:52
20,20,42.58,wallet,completed,2023-04-15 00:31:39
21,21,31.44,wallet,completed,2024-10-20 16:38:37
22,22,72.3,card,completed,2023-05-04 16:24:15
23,23,67.07,wallet,completed,2024-12-30 12:14:44
24,24,25.14,wallet,completed,2023-10-14 23:26:15
25,25,16.88,wallet,completed,2023-12-31 20:08:43
26,26,34.7,cash,completed,2024-06-30 15:23:40
27,27,59.31,wallet,completed,2023-10-20 14:38:35
28,28,35.66,card,completed,2023-10-20 07:52:36
29,29,14.73,card,completed,2024-09-07 17:02:21
30,30,56.59,wallet,completed,2023-05-09 15:42:58
31,31,71.31,cash,completed,2023-05-03 05:52:13
32,32,46.66,cash,completed,2024-09-22 02:12:13
33,33,38.83,cash,completed,2024-04-03 21:32:26
34,34,52.91,cash,completed,2024-03-21 11:24:48
35,35,22.21,card,completed,2023-02-13 10:32:31
36,36,77.38,wallet,completed,2024-11-13 09:30:39
37,37,50.93,cash,completed,2023-12-15 22:40:27
