trip_id,rider_id,driver_id,vehicle_id,start_time,end_time,start_location,end_location,distance_km,fare
1,196,51,106,2024-05-28 04:46:21,2024-05-28 04:52:21,Beach,Train Station,27.61,45.41
2,70,96,31,2024-09-10 20:52:38,2024-09-10 21:48:38,Suburb,Park,16.16,40.74
3,325,19,34,2024-06-10 01:34:58,2024-06-10 02:29:58,Suburb,Restaurant District,33.1,65.9
4,491,2,19,2023-04-06 17:16:11,2023-04-06 17:23:11,Downtown,Business District,30.64,50.21
5,276,71,85,2023-08-25 15:51:17,2023-08-25 16:09:17,Restaurant District,City Center,36.84,62.26
6,109,53,116,2024-05-16 17:02:09,2024-05-16 18:01:09,Park,Train Station,9.73,31.84
7,114,79,107,2023-07-16 07:26:53,2023-07-16 07:43:53,Airport,Train Station,34.21,58.06
8,291,7,97,2024-05-15 17:36:14,2024-05-15 18:16:14,Airport,University,34.24,63.86
9,129,13,9,2024-07-17 13:57:50,2024-07-17 14:39:50,Beach,Hospital,19.14,41.71
10,344,84,31,2023-03-19 16:58:30,2023-03-19 17:21:30,Business District,Airport,45.21,76.06
11,163,63,58,2023-09-13 00:48:52,2023-09-13 01:32:52,Residential Area,University,35.29,66.44
12,79,73,73,2023-10-11 02:39:00,2023-10-11 03:35:00,Hospital,Stadium,10.09,31.63
13,161,32,101,2023-06-22 01:32:18,2023-06-22 02:22:18,Restaurant District,Residential Area,22.93,49.39
14,431,47,18,2024-06-11 20:17:33,2024-06-11 21:08:33,Hospital,City Center,25.04,52.81
15,229,46,37,2024-01-14 05:48:16,2024-01-14 06:28:16,Airport,Train Station,32.99,61.98
16,42,36,50,2024-11-23 06:58:51,2024-11-23 07:37:51,Shopping Mall,University,37.21,68.06
17,321,10,72,2024-11-23 22:02:45,2024-11-23 22:08:45,Suburb,Park,32.32,52.48
18,417,75,52,2024-08-20 10:55:55,2024-08-20 11:37:55,Shopping Mall,City Center,3.76,18.64
19,134,70,71,2024-05-22 21:43:52,2024-05-22 22:37:52,Train Station,Hospital,20.84,47.26
20,457,99,120,2023-04-14 23:43:39,2023-04-15 00:17:39,Park,Airport,21.05,42.58
21,258,2,19,2024-10-20 15:31:37,2024-10-20 16:27:37,Business District,Residential Area,9.96,31.44
22,264,18,28,2023-05-04 16:07:15,2023-05-04 16:23:15,Business District,Residential Area,43.87,72.3
23,75,95,118,2024-12-30 11:29:44,2024-12-30 11:56:44,Downtown,Shopping Mall,38.55,67.07
24,119,9,54,2023-10-14 22:46:15,2023-10-14 23:05:15,Downtown,Residential Area,11.93,25.14
25,465,47,50,2023-12-31 19:21:43,2023-12-31 19:55:43,City Center,Downtown,3.92,16.88
26,333,42,69,2024-06-30 14:35:40,2024-06-30 15:13:40,Residential Area,Suburb,15.13,34.7
27,380,34,27,2023-10-20 13:26:35,2023-10-20 14:12:35,Stadium,Hospital,30.21,59.31
28,460,10,72,2023-10-20 07:16:36,2023-10-20 07:35:36,Park,Stadium,18.94,35.66
29,445,45,98,2024-09-07 16:12:21,2024-09-07 16:47:21,City Center,Business District,2.32,14.73
30,452,18,28,2023-05-09 15:06:58,2023-05-09 15:25:58,Airport,Park,32.89,56.59
31,109,20,46,2023-05-03 05:21:13,2023-05-03 05:49:13,Business District,Restaurant District,41.21,71.31
32,339,30,87,2024-09-22 01:21:13,2024-09-22 01:47:13,Restaurant District,Airport,25.11,46.66
33,246,62,68,2024-04-03 21:08:26,2024-04-03 21:23:26,Residential Area,Suburb,21.72,38.83
34,125,6,74,2024-03-21 10:33:48,2024-03-21 11:15:48,Train Station,Residential Area,26.61,52.91
35,457,74,14,2023-02-13 10:16:31,2023-02-13 10:31:31,University,City Center,10.64,22.21
36,491,52,101,2024-11-13 08:35:39,2024-11-13 09:26:39,Restaurant District,Residential Area,41.42,77.38
37,485,11,28,2023-12-15 21:45:27,2023-12-15 22:28:27,Beach,Suburb,25.12,50.93
38,113,53,77,2023-04-21 20:20:49,2023-04-21 21:15:49,Business District,Suburb,38.84,74.51
39,320,85,113,2023-05-11 06:33:32,2023-05-11 07:24:32,Residential Area,Hospital,46.27,84.66
40,306,76,9,2023-06-28 12:02:22,2023-06-28 12:31:22,Stadium,Train Station,7.21,20.56
41,104,67,90,2024-10-03 23:20:28,2024-10-03 23:34:28,Business District,Airport,10.52,21.78
42,462,79,77,2023-01-31 07:41:39,2023-01-31 08:36:39,Park,Hotel District,7.64,27.71
43,247,85,79,2024-12-01 14:12:52,2024-12-01 14:55:52,Park,Suburb,2.06,16.34
44,481,100,87,2024-05-19 06:33:24,2024-05-19 07:05:24,Park,Stadium,19.78,40.17
45,23,90,68,2023-11-30 04:19:27,2023-11-30 04:38:27,Hotel District,Beach,39.9,67.1
46,196,45,98,2023-11-27 11:41:50,2023-11-27 11:54:50,University,Beach,38.76,63.89
47,466,11,37,2024-04-09 16:58:39,2024-04-09 17:37:39,Stadium,University,11.07,28.86
48,364,96,31,2024-03-24 22:27:40,2024-03-24 23:05:40,Airport,Park,2.35,15.53
49,336,27,75,2023-11-14 13:25:28,2023-11-14 13:53:28,Airport,Train Station,22.45,43.17
50,300,33,15,2024-10-26 01:55:30,2024-10-26 02:34:30,Stadium,Business District,19.55,41.58
51,142,88,42,2024-08-09 09:41:46,2024-08-09 09:59:46,Stadium,Park,39.62,66.43
52,248,23,32,2024-03-10 06:15:51,2024-03-10 06:55:51,Beach,University,49.45,86.68
53,296,45,98,2024-07-25 11:58:43,2024-07-25 12:11:43,Suburb,Residential Area,7.72,17.33
54,118,58,117,2023-05-06 16:04:46,2023-05-06 16:15:46,Shopping Mall,Park,21.23,37.09
55,174,71,85,2023-05-05 20:22:25,2023-05-05 20:51:25,Residential Area,Downtown,40.61,70.66
56,422,19,107,2024-12-20 03:18:52,2024-12-20 04:01:52,Stadium,Airport,5.08,20.87
57,114,48,11,2024-04-18 01:07:15,2024-04-18 01:14:15,Restaurant District,Stadium,46.67,74.25
58,206,79,84,2024-02-09 16:14:50,2024-02-09 16:37:50,Restaurant District,Business District,4.76,15.39
59,397,23,32,2023-12-07 23:01:55,2023-12-07 23:06:55,Shopping Mall,Suburb,33.53,54.05
60,412,67,90,2023-06-01 06:20:16,2023-06-01 06:27:16,Hotel District,Business District,26.51,44.02
61,358,30,87,2024-06-07 12:43:30,2024-06-07 12:50:30,Hospital,Shopping Mall,33.44,54.41
62,500,21,96,2023-08-03 07:50:09,2023-08-03 08:44:09,Stadium,Hospital,34.14,67.21
63,208,76,26,2024-02-07 03:25:24,2024-02-07 03:30:24,Restaurant District,Airport,46.12,72.93
64,282,37,108,2023-09-27 21:24:18,2023-09-27 22:21:18,University,Shopping Mall,31.11,63.41
65,100,59,63,2024-03-22 13:02:17,2024-03-22 13:07:17,University,Train Station,21.54,36.06
66,55,72,10,2024-01-26 19:45:11,2024-01-26 20:08:11,Hospital,Airport,40.54,69.06
67,490,33,15,2024-06-23 04:40:27,2024-06-23 05:13:27,Stadium,Business District,25.21,48.56
68,125,97,44,2024-08-25 10:12:34,2024-08-25 10:46:34,Residential Area,Beach,45.03,78.55
69,442,4,66,2023-04-01 07:23:53,2023-04-01 07:44:53,Airport,Stadium,32.42,56.38
70,113,87,83,2024-09-13 12:05:22,2024-09-13 12:30:22,Stadium,Hospital,26.79,48.94
71,5,90,107,2023-07-24 13:11:38,2023-07-24 13:31:38,University,Airport,21.15,39.22
72,384,44,39,2024-03-06 17:35:21,2024-03-06 17:51:21,Beach,Hospital,18.97,34.95
73,458,74,14,2023-05-22 23:20:56,2023-05-23 00:12:56,Residential Area,City Center,45.68,84.02
74,256,95,24,2023-07-02 10:07:59,2023-07-02 10:59:59,Shopping Mall,Suburb,14.74,37.61
75,118,26,107,2023-07-13 22:39:36,2023-07-13 23:37:36,Business District,Hospital,9.49,31.23
76,55,16,118,2023-03-02 23:06:51,2023-03-02 23:54:51,Residential Area,Beach,31.46,61.69
77,392,70,71,2024-10-20 16:03:47,2024-10-20 16:38:47,Hospital,Business District,17.14,36.96
78,460,74,14,2024-01-17 05:16:29,2024-01-17 05:32:29,Hotel District,City Center,26.53,46.3
79,204,29,11,2023-02-12 01:23:42,2023-02-12 02:01:42,Hotel District,Stadium,24.96,49.44
80,277,5,65,2023-09-27 17:56:07,2023-09-27 18:26:07,Suburb,Residential Area,39.24,68.86
81,235,16,90,2024-02-07 12:02:38,2024-02-07 12:36:38,Hospital,Restaurant District,2.4,14.6
82,346,27,75,2024-03-27 06:46:41,2024-03-27 06:57:41,Hospital,Business District,43.37,70.3
83,96,71,116,2023-07-04 04:35:39,2023-07-04 04:57:39,Beach,Business District,18.47,35.7
84,95,64,55,2023-06-13 12:36:35,2023-06-13 13:07:35,Restaurant District,Hotel District,19.87,40.05
85,438,52,101,2023-12-17 02:11:50,2023-12-17 02:27:50,Business District,Train Station,49.01,80.02
86,352,30,87,2024-07-13 20:58:26,2024-07-13 21:20:26,Hotel District,Shopping Mall,28.66,50.99
87,439,49,26,2023-04-24 06:43:27,2023-04-24 07:39:27,Restaurant District,Train Station,24.7,53.55
88,5,23,32,2024-01-24 01:10:42,2024-01-24 01:23:42,City Center,Suburb,32.27,54.16
89,274,93,41,2024-09-01 23:40:01,2024-09-02 00:16:01,University,Park,43.21,76.31
90,25,51,13,2024-06-20 08:39:28,2024-06-20 08:54:28,Downtown,Shopping Mall,41.06,67.84
91,244,81,91,2023-12-16 09:54:05,2023-12-16 10:46:05,Hospital,University,19.33,44.49
92,287,72,120,2024-09-21 03:47:25,2024-09-21 04:08:25,Hospital,Downtown,21.76,40.39
93,180,87,83,2024-03-24 01:20:00,2024-03-24 02:01:00,Residential Area,Park,10.38,28.32
94,400,37,108,2023-09-10 12:07:19,2023-09-10 12:55:19,Park,Beach,39.19,73.28
95,229,11,49,2024-04-21 15:31:18,2024-04-21 15:54:18,Beach,Residential Area,47.92,80.13
96,445,22,100,2023-11-24 15:13:45,2023-11-24 15:58:45,Business District,Stadium,42.75,77.88
97,37,11,21,2023-09-24 21:38:36,2023-09-24 21:57:36,Hospital,Residential Area,15.99,31.23
98,137,78,83,2023-11-04 03:49:17,2023-11-04 04:11:17,City Center,Beach,39.49,67.23
99,481,47,96,2024-03-31 20:58:39,2024-03-31 21:36:39,Beach,Stadium,10.03,27.04
100,438,3,17,2024-07-19 06:39:40,2024-07-19 06:59:40,Residential Area,University,47.14,78.21
101,359,96,31,2023-06-13 13:20:13,2023-06-13 13:35:13,Stadium,Airport,6.59,16.13
102,480,61,21,2023-01-21 11:28:39,2023-01-21 12:22:39,Stadium,Park,38.72,74.08
103,43,14,1,2024-04-25 02:15:34,2024-04-25 02:29:34,Airport,Residential Area,46.72,76.08
104,200,40,36,2023-07-12 03:48:19,2023-07-12 04:40:19,University,Beach,32.07,63.61
105,68,68,99,2023-01-23 04:36:27,2023-01-23 04:43:27,Residential Area,Hospital,43.3,69.2
106,167,61,21,2024-11-07 10:43:13,2024-11-07 11:22:13,City Center,University,28.33,54.74
107,70,90,70,2023-05-18 12:12:07,2023-05-18 12:54:07,Business District,Beach,32.29,61.44
108,326,73,56,2024-02-11 13:59:52,2024-02-11 14:44:52,Residential Area,Park,16.86,39.04
109,178,62,68,2024-09-17 00:50:24,2024-09-17 01:00:24,Beach,University,19.56,34.34
110,134,20,49,2023-01-09 04:46:29,2023-01-09 04:51:29,Park,Suburb,38.4,61.35
111,70,45,98,2023-12-31 10:29:01,2023-12-31 11:08:01,Downtown,Restaurant District,46.26,81.64
112,485,97,62,2023-08-21 17:08:41,2023-08-21 17:13:41,Hotel District,Stadium,40.3,64.2
113,306,30,87,2024-03-01 19:24:57,2024-03-01 19:52:57,Shopping Mall,Stadium,44.34,76.01
114,224,51,32,2023-05-07 19:33:50,2023-05-07 20:23:50,Restaurant District,Residential Area,20.71,46.06
115,194,29,11,2023-03-03 12:34:35,2023-03-03 13:06:35,Residential Area,Shopping Mall,26.8,50.7
116,410,79,104,2024-06-22 23:41:28,2024-06-23 00:29:28,University,Residential Area,37.66,70.99
117,415,35,47,2023-05-27 00:35:08,2023-05-27 01:34:08,Airport,Train Station,8.56,30.09
118,57,82,25,2024-04-24 19:18:39,2024-04-24 19:51:39,University,Restaurant District,31.89,58.59
119,97,42,69,2023-04-29 04:16:07,2023-04-29 04:24:07,Park,Downtown,10.93,20.89
